itm_horse_meat|Лошадиное мясо
itm_practice_boots|Тренировочные ботинки
itm_arena_tunic_white|Белая туника для арены 
itm_arena_tunic_red|Красная туника для арены
itm_arena_tunic_blue|Синяя туника для арены
itm_arena_tunic_green|Зеленая туника для арены
itm_arena_tunic_yellow|Желтая туника для арены
itm_book_tactics|Голокрон - Тактика
itm_book_persuasion|Голокрон - Убеждение
itm_book_leadership|Голокрон - Лидерство
itm_book_intelligence|Голокрон - Разведка
itm_book_trade|Голокрон - Торговля
itm_book_weapon_mastery|Голокрон - Владение оружием
itm_book_engineering|Голокрон - Инженер
itm_book_wound_treatment_reference|Медицинский дроид 2-1B
itm_book_first_aid_reference|Медицинская база данных
itm_book_tactics_reference|Столик для дежарика
itm_book_trade_reference|Карты для сабакка
itm_book_ironflesh_reference|Средство индивидуальной защиты
itm_book_horse_archery_reference|Лазерный прицел
itm_book_training_reference|Удаленная тренировка
itm_book_surgery_reference|Капсула Бакты
itm_smoked_fish|Копченая рыба
itm_dried_meat|Бифштекс из нерфа
itm_cattle_meat|Мясо нерфа
itm_bantha_steak|Стейк из банты
itm_pork|Свинина
itm_bread|Хлеб
itm_vagnerian_canape|Вагнерианское канапе
itm_carbohydrate_pack|Пакет углеводов
itm_apples|Яблоки
itm_blue_milk|Синее молоко
itm_mujo_fruit|Плод муджо
itm_cheese|Кристофсианский сыр
itm_chicken|Цыпленок
itm_protein_pack|Пакет белков
itm_honey|Мед
itm_sausages|Сосиски из нерфов
itm_cabbages|Капуста
itm_bristle_melon|Дыня
itm_butter|Масло из молока банты
itm_container_spice_1|Партия специй Рилла
itm_container_spice_2|Партия специй Грее
itm_container_spice_3|Партия специй Глиттерстима
itm_container_food_1|Партия овощей
itm_container_food_2|Партия углеводов
itm_container_food_3|Партия белков
itm_container_metal_1|Партия слитков Бескара
itm_container_metal_2|Партия слитков Дюрастали
itm_container_metal_3|Партия слитков Бронция
itm_container_death_sticks|Упаковка палочек Смерти
itm_container_drink_1|Партия воды
itm_container_drink_2|Партия черного эля
itm_container_drink_3|Партия сока жьюри
itm_carbonite_tibanna|Партия газа Тибанна в карбоните
itm_container_ore|Контейнер руды
itm_butter|Масло из молока банты
itm_wine|Мандалорианское вино
itm_ale|Кореллианское пиво
itm_spice|Специи
itm_salt|Морская соль Басселя
itm_grain|Пшеница
itm_flour|Мука
itm_iron|Дюрасталь
itm_bacta_injector|Инъектор Бакты
itm_bacta_capsule|Капсула Бакты
itm_binocular|Макробинокль
itm_jetpack|Реактивный ранец
itm_oil|Масло
itm_pottery|Геонозианская керамика
itm_linen|Шелк Лашаа
itm_furs|Шкурки Эвоков
itm_wookiee_fur|Шкура Вуки
itm_trandoshan_skin|Кожа Трандашана
itm_droid_parts|Части дроидов
itm_wool|Шерсть Нерфа
itm_velvet|Бархат Набу
itm_tools|Гидроключ
itm_siege_supply|Запасы
itm_quest_wine|Вино
itm_quest_ale|Пиво
itm_pilgrim_disguise|Маскировка Пилигрима
itm_pilgrim_hood|Капюшон Пилигрима
itm_leather_gloves|Кожаные перчатки
itm_wrapping_boots|Оберточные постолы
itm_blue_hose|Синий рукав
itm_hide_boots|Бесшумные ботинки
itm_ankle_boots|Полусапоги
itm_nomad_boots|Ботинки кочевника
itm_dress|Платье
itm_blue_dress|Синее платье
itm_peasant_dress|Колониальное платье
itm_woolen_dress|Шерстяное платье
itm_courtly_outfit|Изысканная одежда
itm_nobleman_outfit|Аристократическая одежда
itm_leather_armor|Кожаная броня
itm_shirt|Рубаха
itm_linen_tunic|Льняная туника
itm_short_tunic|Богатая туника
itm_robe|Роба
itm_coarse_tunic|Грубая туника
itm_leather_apron|Кожаный фартук
itm_tabard|Плащ
itm_leather_vest|Кожаный жилет
itm_gambeson|Камзол
itm_blue_gambeson|Синий камзол
itm_red_gambeson|Красный камзол
itm_padded_cloth|Обитая одежда
itm_leather_jerkin|Кожаная безрукавка
itm_padded_leather|Обитая кожа
itm_straw_hat|Соломенная шляпа
itm_common_hood|Капюшон
itm_headcloth|Платок
itm_woolen_hood|Шерстяной капюшон
itm_fur_hat|Меховая шапка
itm_padded_coif|Обитая шапочка
itm_woolen_cap|Шерстяная шапка
itm_felt_hat|Фетровая шляпа
itm_leather_cap|Кожаный головной убор
itm_arming_cap|Боевой головной убор
itm_female_hood|Капюшон леди
itm_wooden_stick|Деревянная палка
itm_club|Дубина
itm_cleaver|Большой нож
itm_knife|Нож
itm_butchering_knife|Разделочный нож
itm_hatchet|Топорик
itm_quarter_staff|Жезл с наконечником
itm_throwing_axes|Гаморреанские метательные топоры
itm_rich_outfit|Богатый наряд
itm_black_hood|Черный плащ
