hint_1|Az erő legyen veled.
hint_2|Holmi vallások és erők nem szállhatnak szembe egy jó lézerpisztollyal, öcskös.
hint_3|Tedd meg vagy ne... ne próbáld.
hint_4|Zavart érzek az erődben.
hint_5|Segíts nekem, Obi-Wan Kenobi; te vagy az egyetlen esélyem.
hint_6|Valakinek meg kell mentenie a bőrünket. A szemétledobóba pilóta fickó.
hint_7|Az Erő erősen vele van.
hint_8|Gyors hajó? Nem hallottál még az Ezeréves Sólyomról?
hint_9|Csodás lány. Vagy meg fogom ölni, vagy elkezdem megkedvelni.
hint_10|Nem vagy egy kicsit alacsony Rohamosztagosnak?
hint_11|Valaki elvinné ezt a nagy sétáló szőnyeget az utamból?
hint_12|Huhúúú! Tiszta vagy öcskös, most robbantsuk fel ezt az izét és húzzunk haza!
hint_13|Azt hiszem itt az idő, hogy megmutassuk mit tud az állomás. Állítsa be az irányt az Alderaanra.
hint_14|Réges régen egy messzi, messzi galaxisban...
hint_15|A jó harca a robot ellen az egy dolog. A jó harca az élő ember ellen, az valami más.
hint_16|Ő az agy, Édesem!
hint_17|Maga beképzelt, féleszű, faragatlan tuskó!
hint_18|Ki a faragatlan tuskó?
