# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"


fac_no_faction|Sin Facción
fac_commoners|Commoners
fac_outlaws|Outlaws
fac_neutral|Neutral
fac_innocents|Inocentes
fac_merchants|Mercaderes
fac_trade_federation|Federación de Comercio
fac_dark_knights|Caballeros Oscuros
fac_culture_1|culture 1
fac_culture_2|culture 2
fac_culture_3|culture 3
fac_player_faction|Facción del Jugador
fac_player_supporters_faction|Facción del Jugador
fac_kingdom_1|Imperio Galáctico
fac_kingdom_2|Alianza Rebelde
fac_kingdom_3|Cartel Hutt
fac_kingdoms_end|kingdoms end
fac_robber_knights|robber knights
fac_khergits|Khergits
fac_black_khergits|Black Khergits
fac_manhunters|Desertores
fac_mountain_bandits|Mountain Bandits
fac_forest_bandits|Forest Bandits
fac_undeads|No Muertos
fac_slavers|Esclavos
fac_peasant_rebels|Peasant Rebels
fac_noble_refugees|Noble Refugees
