pt_rescued_prisoners|Undsatta Fångar
pt_enemy|Fiende
pt_hero_party|Hjälte Parti
pt_minorplanet_defenders|Koloniala Försvarare
pt_cattle_herd|Nerd Hjord
pt_jawas|Jawas
pt_bountyhunters|T'doshok Slavhandlare
pt_night_fang_pirates|Natt Huggtands PiraterVery lame name since there is no  Swedish word for fang other than Huggtand.
pt_blazing_claw_pirates|Brinnande Klo Pirater
pt_tusken_raiders|Tuskenjägare
pt_black_sun_pirates|Svart Sol Pirater
pt_deserters|Desertörer
pt_galacticempire_escort|Patrull Flotta
pt_independent_traders|Handelsmans Konvoj
pt_merchant_caravan|Handelsmans Fraktfartyg
pt_troublesome_bandits|Besvärliga Banditer
pt_bandits_awaiting_ransom|Banditer Väntandes På Lösen
pt_kidnapped_girl|Kidnappad Flicka
pt_minorplanet_farmers|Koloniella Lantbrukare
pt_spy_partners|Alldagliga Resande
pt_runaway_serfs|Förrymda Slavar
pt_spy|Vanlig Stadsbo
pt_sacrificed_messenger|Offrad Budbärare
pt_forager_party|Furagerande Parti
pt_scout_party|Scouter
pt_patrol_party|Patrull
pt_messenger_party|Budbärare
pt_raider_party|Bandit
pt_faction_caravan_party|Fraktfartyg
pt_prisoner_train_party|Fångtåg
pt_default_prisoners|Fångar
pt_center_reinforcements|Förstärkningar
pt_faction_hero_party|Krigs Parti
