hint_1|Güç seninle olsun.
hint_2|Harabe silahların ve hokus-pokus dininin benim güzel silahlarım karşısında şansları yok,veled.
hint_3|Yap yada yapma...Hiç şansın yok
hint_4|İnancınla ilgili eksikliğini yakaladım.
hint_5|Yardım et,Obi-Wan Kenobi;sen benim tek umudumsun.
hint_6|Birisi derilerimizi kurtarmalı.Çöplük kanalında,uç çocuğum.
hint_7|Güç bununla birlikte daha kuvvetli.
hint_8|Hızlı gemi?Hiç Milenyum Kartalı'nı duymadın mı?
hint_9|Harika kadın.Ya onu öldüreceğim yada onu sevmeye başlayacağım.
hint_10|Stormtrooper olmak için çok kısa değil misin?
hint_11|Birisi şu uçan dev halıyı gözümün önünden çekebilir mi?
hint_12|YAHOOOOOO!Tamamen temizsin çocuk,hadi şimdi şunu üfle ve eve git!
hint_13|Sanırım istasyonun tüm gücünü gösterdik.Rotanı Alderaan'a ayarla.
hint_14|Uzun zaman önce uzak bir galakside...
hint_15|Uzaktan kumanda etmeye karşın iyilik bir şeydir.Yaşamaya karşın iyilik,o başka bir şeydir.
hint_16|Onda beyin var tatlım!
hint_17|Neden burnu havada,yarım akıllı,pis görünümlü bir köy çocuğusun?
hint_18|Kim pis görünüyor?
