hint_1|Nechť tě provází síla.
hint_2|Sentimentální náboženství a starověké zbraně nemá nad dobrý blaster, chlapče.
hint_3|Dělat nebo ne ... není výběru.
hint_4|Zjistil jsem, že váš nedostatek víry je znepokojující.
hint_5|Pomoz mi, Obi-Wane Kenobi, jsi má jediná naděje.
hint_6|Někdo nás zachránil. Do drtiče odpadů.
hint_7|Síla ho provází.
hint_8|Rychlá loď? Jsi nikdy neslyšel o Millenium Falconu?
hint_9|Skvělá ženská. Buď ji budu muset zabít nebo se mi začne líbit.
hint_10|Nejsi trochu malý na stormtroopera?
hint_11|Dostane někdo ten velký chodící koberec z mí cesty?
hint_12|YAHOOOOO! Je ti jasné, chlapče, teď to tu odbouchneme a pojedeme domů!
hint_13|Myslím že je čas ukázat plnou sílu stanice. Nastavte kurs na Alderaan.
hint_14|Před dávnými časy v předaleké galaxii.
hint_15|Dobrý proti ovladačů je jedna věc. Dobrý vůči životu, to je něco jiného.
hint_16|Je to chytrák, zlatíčko!
hint_17|Proč jses zasek ty slabomyslný, zanedbaný pasáku nerfů.
hint_18|Kdo vypadá zanedbaně?
